,Date,Close
162,2-Mar-17,63.25
163,1-Mar-17,62.83
164,28-Feb-17,61.84
165,27-Feb-17,62.22
166,24-Feb-17,62.09
167,23-Feb-17,61.94
168,22-Feb-17,61.36
169,21-Feb-17,61.83
170,17-Feb-17,61.77
171,16-Feb-17,61.48
172,15-Feb-17,61.65
173,14-Feb-17,60.82
174,13-Feb-17,60.51
175,10-Feb-17,60.42
176,9-Feb-17,60.84
177,8-Feb-17,60.52
178,7-Feb-17,60.56
179,6-Feb-17,60.65
180,3-Feb-17,60.67
181,2-Feb-17,60.89
182,1-Feb-17,60.89
183,31-Jan-17,61.11
184,30-Jan-17,60.43
185,27-Jan-17,60.0
186,26-Jan-17,61.27
187,25-Jan-17,61.38
188,24-Jan-17,60.58
189,23-Jan-17,60.96
190,20-Jan-17,61.15
191,19-Jan-17,61.38
192,18-Jan-17,61.66
193,17-Jan-17,61.86
194,13-Jan-17,61.99
195,12-Jan-17,61.28
196,11-Jan-17,61.14
197,10-Jan-17,64.07
198,9-Jan-17,64.21
199,6-Jan-17,63.79
200,5-Jan-17,63.77
201,4-Jan-17,63.29
202,3-Jan-17,62.41
203,30-Dec-16,62.62
204,29-Dec-16,62.73
205,28-Dec-16,62.27
206,27-Dec-16,62.5
207,23-Dec-16,62.34
208,22-Dec-16,61.66
209,21-Dec-16,61.45
210,20-Dec-16,62.16
211,19-Dec-16,62.22
212,16-Dec-16,62.22
213,15-Dec-16,62.02
214,14-Dec-16,61.67
215,13-Dec-16,61.99
216,12-Dec-16,62.04
217,9-Dec-16,61.54
218,8-Dec-16,60.9
219,7-Dec-16,59.99
220,6-Dec-16,61.62
221,5-Dec-16,60.86
222,2-Dec-16,59.43
223,1-Dec-16,59.16
224,30-Nov-16,60.8
225,29-Nov-16,61.59
226,28-Nov-16,59.46
227,25-Nov-16,60.51
228,23-Nov-16,60.18
229,22-Nov-16,58.93
230,21-Nov-16,60.42
231,18-Nov-16,60.52
232,17-Nov-16,61.7
233,16-Nov-16,61.54
234,15-Nov-16,62.87
235,14-Nov-16,62.97
236,11-Nov-16,63.1
237,10-Nov-16,64.0
238,9-Nov-16,62.64
239,8-Nov-16,58.81
240,7-Nov-16,58.91
241,4-Nov-16,56.04
242,3-Nov-16,55.89
243,2-Nov-16,56.79
244,1-Nov-16,56.45
245,31-Oct-16,55.78
246,28-Oct-16,57.6
247,27-Oct-16,61.46
248,26-Oct-16,61.02
249,25-Oct-16,61.55
250,24-Oct-16,61.12
